,city,time,co,no2,o3,pm10,pm25,so2,w,p,t,temperature,pressure,humidity,temp_min,temp_max,cloud,wind_speed,wind_degree,longitude,latitude,accident_num
0,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.14,1000,66,282.04,284.26,69,5.7,130,2.35,48.86,137
1,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.14,1000,66,282.04,284.26,69,5.7,130,2.35,48.86,135
2,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.14,1000,66,282.04,284.26,69,5.7,130,2.35,48.86,138
3,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.14,1000,66,282.04,284.26,69,5.7,130,2.35,48.86,135
4,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,137
5,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,135
6,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,138
7,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,135
8,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.84,999,66,282.59,284.82,69,5.1,130,2.35,48.86,137
9,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.84,999,66,282.59,284.82,69,5.1,130,2.35,48.86,135
10,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.84,999,66,282.59,284.82,69,5.1,130,2.35,48.86,138
11,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.84,999,66,282.59,284.82,69,5.1,130,2.35,48.86,135
12,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,137
13,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,135
14,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,138
15,Paris,2019-11-22 11:00:00,0.1,32.6,4.3,33,60,0.4,0.1,998.5,0,283.77,999,66,283.15,284.82,69,5.1,130,2.35,48.86,135
16,Beijing,2019-11-22 19:00:00,19.9,48.9,0.5,117,196,4.6,0.5,0,0,281.2,1020,75,279.26,282.04,69,1,130,116.39,39.91,
17,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.26,1017,71,283.15,284.82,75,5.7,130,19.04,47.5,193
18,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.26,1017,71,283.15,284.82,75,5.7,130,19.04,47.5,193
19,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.26,1017,71,283.15,284.82,75,5.7,130,19.04,47.5,193
20,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.26,1017,71,283.15,284.82,75,5.7,130,19.04,47.5,191
21,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
22,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
23,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
24,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,191
25,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
26,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
27,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
28,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,191
29,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
30,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
31,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,193
32,Budapest,2019-11-22 11:00:00,5.8,19.3,4.7,20,94,3.7,1.2,1018.1,11.1,284.69,1017,71,284.15,284.82,77,5.7,130,19.04,47.5,191
33,Barcelona,2019-11-22 12:00:00,0.1,41.2,1.7,22,0,1.6,0.1,0,0,287.35,1002,72,282.04,289.82,20,2.1,200,2.18,41.38,
34,Tokyo,2019-11-22 20:00:00,5.6,26.9,16,8,1,1.5,0,1029.1,8.3,282.69,1029,93,281.15,284.26,75,8.2,320,139.76,35.68,
35,Dortmund,2019-11-22 12:00:00,0,22.4,0.9,20,0,2.6,2.2,0,10.2,282.64,1005,71,280.93,284.82,100,4.6,180,7.47,51.51,44
